MiB,numfiles,delay,N,fpt,run,seconds
1,1,100,1,1,3,6.532102584838867
1,1,100,1,1,4,6.489207029342651
1,1,100,1,1,5,6.478637456893921
1,1,100,1,3,1,6.49264121055603
1,1,100,1,3,2,6.505444288253784
1,1,100,1,3,3,6.493850946426392
1,1,100,1,3,4,6.486738204956055
1,1,100,1,3,5,6.4883270263671875
1,1,100,2,1,1,6.490238904953003
1,1,100,2,1,2,6.4838972091674805
1,1,100,2,1,3,6.477180004119873
1,1,100,2,1,4,6.500228643417358
1,1,100,2,1,5,6.500582695007324
1,1,100,2,3,1,6.495316505432129
1,1,100,2,3,2,6.481310606002808
1,1,100,2,3,3,6.490681171417236
1,1,100,2,3,4,6.500316381454468
1,1,100,2,3,5,6.5013463497161865
1,1,100,3,1,1,7.49098539352417
1,1,100,3,1,2,7.5047056674957275
1,1,100,3,1,3,7.483635902404785
1,1,100,3,1,4,7.490293979644775
1,1,100,3,1,5,7.507651329040527
1,1,100,3,3,1,7.49155592918396
1,1,100,3,3,2,7.499776124954224
1,1,100,3,3,3,7.478825092315674
1,1,100,3,3,4,7.489157676696777
1,1,100,3,3,5,7.5089240074157715
1,1,100,4,1,1,8.50108790397644
1,1,100,4,1,2,8.504211664199829
1,1,100,4,1,3,8.491191148757935
1,1,100,4,1,4,8.487356901168823
1,1,100,4,1,5,8.493629932403564
1,1,100,4,3,1,15.504939317703247
1,1,100,4,3,2,8.499346494674683
1,1,100,4,3,3,8.536679029464722
1,1,100,4,3,4,8.478735446929932
1,1,100,4,3,5,8.499446630477905
1,1,100,8,1,1,10.50199007987976
1,1,100,8,1,2,10.503779411315918
1,1,100,8,1,3,10.52280855178833
1,1,100,8,1,4,10.520359992980957
1,1,100,8,1,5,10.511754274368286
1,1,100,8,3,1,10.51576042175293
1,1,100,8,3,2,10.502475023269653
1,1,100,8,3,3,10.500639915466309
1,1,100,8,3,4,10.505352258682251
1,1,100,8,3,5,10.503049850463867
1,15,0,1,1,1,1.4697210788726807
1,15,0,1,1,2,1.4913899898529053
1,15,0,1,1,3,1.4856891632080078
1,15,0,1,1,4,1.4861130714416504
1,15,0,1,1,5,1.4654183387756348
1,15,0,1,3,1,1.4639489650726318
1,15,0,1,3,2,1.4667303562164307
1,15,0,1,3,3,1.4637842178344727
1,15,0,1,3,4,1.4771931171417236
1,15,0,1,3,5,1.4687793254852295
1,15,0,2,1,1,1.467606544494629
1,15,0,2,1,2,1.4718880653381348
1,15,0,2,1,3,1.499866008758545
1,15,0,2,1,4,1.483633279800415
1,15,0,2,1,5,1.4679999351501465
1,15,0,2,3,1,1.4823219776153564
1,15,0,2,3,2,1.4862077236175537
1,15,0,2,3,3,1.4784431457519531
1,15,0,2,3,4,1.4738447666168213
1,15,0,2,3,5,1.4775006771087646
1,15,0,3,1,1,1.482832670211792
1,15,0,3,1,2,1.4633636474609375
1,15,0,3,1,3,1.4855961799621582
1,15,0,3,1,4,1.4841649532318115
